Gender;E-Paylater User Status;Educational Background;Age;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB;P;SI;H;SC;NE
2;1;1;23;1;3;1;2;1;1.33;4;2.8;2
2;1;1;21;1;2;2;3.5;1;1;3.5;3.2;3.6
1;1;1;23;1;1;1;1;1;1.67;3;4;3.6
2;1;1;23;1;1;2;1.75;1;1;3.5;3.6;2.8
2;1;1;21;1;2;1;3;4;3.17;4;4;2.8
2;1;1;21;1;1;1;1;2;2;2;2;3.6
2;2;1;24;1;1;2;2;1;3;3;3.4;3
1;1;1;26;1;1;1;3.5;3;3;4.25;3.8;2.2
2;1;1;22;1;2;4;2.75;2.5;2.67;5;3.6;3.2
2;1;1;28;1;1;1;1.75;1;1;3.25;2.8;4.8
2;1;4;22;1;1;1;3.5;2;3;4;3.8;3
2;1;1;21;1;1;3;1.5;1;1.17;4;3.8;4.8
1;1;3;23;2;3;1;2.5;1.75;2.67;4;3.2;4.2
1;1;3;20;4;6;1;1;1;1;1;2.6;5
1;1;1;23;1;1;1;3.5;4;4;4;4;4
1;1;3;32;2;5;1;3.75;2.25;3;3;3.4;2.2
2;2;3;34;1;1;1;4.5;1.5;2.17;4;3.6;4
1;1;4;40;2;4;1;3;3.5;1.83;1.75;3.4;3.4
1;1;1;29;1;2;1;2;1;1;2.25;2.6;5
1;1;2;45;2;5;2;1.5;1;2.67;2.25;5;5
2;1;1;21;1;1;1;2;2.25;2.17;4;3.2;4.4
2;2;3;34;2;6;1;3.75;4;4;4;3.6;4.4
1;2;3;24;2;6;1;3.75;4;4;4;3.6;4.4
2;2;3;22;2;3;1;4;4.25;3.67;3.75;4;3.4
2;1;2;23;1;2;1;2.75;1.75;1;1.5;3.8;4.2
1;2;3;23;2;5;2;3.5;3.75;4.5;4;4;2.8
2;2;2;24;2;4;2;3.5;3.75;3.83;3.5;4.2;3.6
2;1;3;29;2;4;4;2.5;1.5;2;4;3;3.6
