Gender;E-Paylater User Status;Educational Background;Age;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB;P;SI;H;SC;NE
2;1;1;21;1;1;1;4;3;3;3.75;3.8;2.8
1;1;1;21;1;2;2;2;2;2.17;3;3.6;4
1;1;1;48;1;1;1;3;1;1;3.25;2.4;2.4
1;1;1;22;1;2;2;3.5;3.75;2.83;4;4;3.2
1;2;3;27;3;1;3;3.25;3;3;4;3.4;3.8
1;1;1;28;1;1;2;3.25;3.25;2.5;3.5;3.8;2.2
1;1;1;45;1;2;2;2;2.25;1.17;3;3.8;3.6
1;1;1;40;1;1;2;2;1.75;2.33;3.25;1.8;3.6
1;1;3;27;2;3;1;3.5;2;2.5;2.5;3.8;2.8
1;1;1;40;1;2;1;4;1;1;3;3.8;3
1;2;2;22;1;2;3;3.5;4;3;4;3.2;3.2
1;2;4;24;2;4;2;2;4;3;4;3.4;3.8
1;2;3;40;2;5;1;2;4;2;4;2.8;4.8
1;2;4;49;2;3;1;3;2;3.17;4;4;2.2
1;1;3;25;2;3;1;3.25;3.25;3;4.75;3;3.2
1;1;1;21;1;3;1;2.75;1.75;1.5;4;2.8;2.4
1;2;1;20;1;2;2;1.75;3;2.17;2;1.6;4
1;1;4;20;2;6;1;3;1;1.17;1.75;2.8;4.8
2;1;3;23;3;1;2;3.5;3;3.17;3;3;3
2;2;4;24;4;5;3;4;4.25;4.33;4;4;2
2;1;4;46;2;4;1;1.25;1;2;2.75;3.2;2.6
2;1;4;23;2;6;2;1;1;1;5;4;4
2;2;3;33;2;6;4;2.5;1.75;1.33;3.75;2.2;2.8
2;1;2;25;1;3;4;4;1.5;1;4.5;3.8;3.2
2;2;3;26;1;1;3;3.5;1.5;1.17;2.5;2.6;3
2;1;1;25;1;1;2;3.5;1;1.17;4.25;4;4.8
2;2;3;49;2;1;1;3;2;3;3.75;3.8;3.2
2;1;4;21;2;4;1;2;2;2;2;3.2;3.2
2;2;4;39;2;4;2;3;2.75;2.5;4;2.6;2.2
1;1;1;40;1;2;2;2.25;3.25;1.67;4.25;2.2;3.8
2;1;1;22;1;1;2;3;2.5;3.17;4;3.2;2.2
2;2;3;23;2;3;1;1;1.5;2;3;2.8;3
2;1;1;23;1;1;2;3.25;2;2.5;4;3;4.2
2;1;1;23;1;2;2;2.5;3.5;2.33;2.5;2.6;3.6
2;1;3;23;1;1;1;2.75;2;2;3;3.4;3
2;1;1;23;1;1;1;1;3;3.17;3;5;3
2;1;3;37;2;5;1;2;2;1;3.5;3;3.4
2;1;2;23;4;1;1;2;4;1.33;3.25;3.4;2.2
2;1;1;23;1;1;3;1;1;1;1;1;2.6
2;1;2;23;1;1;2;3.25;4;4.17;5;3;1.6
2;1;1;20;1;1;3;3.25;2;2;5;3.2;3.6
2;1;1;24;1;2;2;2;2;2;3;2.8;2.8
2;2;3;44;2;4;3;3.5;4;4.67;3;4;2.8
2;1;1;28;1;1;1;2.25;1;1.17;3.5;3;4
2;1;1;23;1;2;1;2.5;1;1.33;4;2.6;3.6
2;1;1;23;1;1;2;2;2;2;2.25;3.8;3
2;1;1;21;1;3;1;2.75;4;4;4;4;2.2
2;1;1;21;1;1;1;2.5;3;2.83;2;3.8;4.6
2;1;3;19;2;2;1;2.25;1;2;4;2.6;4.8
2;1;4;21;2;5;2;2;1;1.67;3;3.4;3.6
1;1;3;20;2;3;2;2.75;3;3;3.25;3.4;3
2;1;1;20;1;1;1;3;1;1.5;5;3.8;4.2
2;2;3;32;2;4;3;3.5;4;4.67;3;4;2.8
2;1;1;30;1;1;1;3;1;2.33;4;3.2;4
2;1;2;20;1;1;1;3.75;4;3.67;3.75;4;2.8
2;1;1;21;1;2;1;3;3;2;3.25;3.6;4
2;2;4;20;3;6;2;2;3.25;3;3;3.4;5
2;1;3;20;1;1;2;3.25;3;2.83;4;3.6;3.4
2;1;3;21;1;1;1;3.25;1.75;3;5;4;2
2;2;3;21;2;5;2;3.25;3.75;1.83;3.75;3.8;1.8
1;1;1;21;1;1;1;3;1;1;1;1;1
2;1;4;49;2;4;2;2;1;1;4;2.8;5
2;1;3;54;1;1;1;2.25;3;3;3.75;3.6;3.6
1;1;3;23;2;6;1;1;1;1;2;2.8;2.6
2;1;3;22;1;1;1;3;3;3;3.75;4;3
2;1;3;20;2;3;2;2.25;1.5;4;1.5;4.4;3.8
2;2;3;28;2;3;2;2.75;1;1;5;2.8;3.4
2;1;4;21;2;3;1;1;1;1;3;3.8;3.4
2;1;1;29;1;1;2;2.5;3.25;3.33;3.25;3;4.4
2;1;1;22;1;1;2;3.75;1;2.33;3.5;3.4;2.8
2;2;3;23;2;4;2;1;4;2.67;4;2.6;4.6
2;1;3;44;2;1;2;3.5;1.25;2.33;3.5;3.6;2.8
2;1;3;27;1;1;2;3;2.25;2.33;4;3.4;3
2;1;3;43;2;3;1;3;2;2;4;3.6;3.4
2;1;1;22;1;2;1;2.75;2;2.83;4;3.8;3.2
2;1;1;32;1;1;1;2.25;1;1;4;4.2;3.6
2;2;2;20;2;5;2;2;4;3.33;4;3.4;3.8
2;1;1;22;1;2;1;2.5;1;2;3.5;3.8;4
2;1;4;21;2;2;2;2.5;1;1;3.75;3.6;4.2
2;1;2;20;3;6;1;2;1;1.17;2.5;3.6;3.8
1;1;1;20;1;2;1;2.5;3.75;3;3.75;3.4;3
1;1;4;52;2;6;1;3.25;2.25;1;4;2.8;3.6
2;1;3;52;2;6;1;1;1;1;2;2.8;4.4
2;1;1;58;1;2;2;3.25;1;1;5;3.4;3.8
2;1;1;47;1;1;2;3;4;1.5;4;3.4;3.8
2;2;3;20;2;3;1;3.25;4;3;5;3.2;2.2
1;1;4;33;2;6;3;3;1;3;4;4;3.2
2;2;3;46;2;5;4;1;4.75;1;2;2.6;3.8
2;2;3;20;2;5;2;3;4;2.67;4.25;2.6;1.6
1;1;4;30;2;6;1;1.5;1;1.17;3;3.4;5
1;1;3;20;2;6;2;4;2;2;5;3.2;2.4
2;1;4;21;2;6;2;2;1;2;3;2.8;4
2;1;4;21;2;1;3;3.5;4;4;4;3.8;3
2;1;3;21;1;1;2;3.25;2;2.17;4;3.2;3.8
2;1;3;22;2;6;1;4;1;1.33;4;3.6;3.8
2;1;4;34;2;3;1;1;1;1;2;3;5
2;1;1;21;1;1;1;4;4;4;4;4;4
2;1;3;21;2;3;2;1.75;1;2;3.25;3.2;2
2;1;1;21;1;1;2;4;4;3.17;4;3;3.2
2;1;4;22;3;1;2;3.25;2;1.83;4;3.2;2.8
2;1;1;20;1;1;1;3;2;3;4;4;2
1;1;1;20;1;1;1;2.5;3;2;3.25;4;3.4
2;1;1;25;1;1;1;3;2;2;4;3.6;4
2;1;3;21;2;6;1;2.75;2;2;3.25;3.6;3
2;2;4;23;2;6;1;2.75;3.75;2.33;2;3.8;5
2;1;1;28;1;1;2;3.75;3;3.17;4;3.4;3.2
2;1;2;38;1;1;1;3.75;4;3.67;3.75;4;2.8
2;1;3;44;4;2;2;2;1;1;3.75;2.8;4.4
2;1;1;20;1;1;2;4;4.25;4.17;4.25;3.6;4.6
2;1;3;21;2;6;1;3.75;2;2;3.5;2.8;3
2;1;3;22;3;2;2;2;1;1;4;3;3.6
2;1;4;21;2;3;2;4;1;1;5;2.8;3
2;1;1;21;1;1;1;1.25;1;1;3;3;4.6
2;1;4;21;2;5;1;2;1;1;4;3.2;1.8
1;1;3;25;1;1;2;2.5;2;2.17;4;3.4;2.6
1;1;3;46;4;4;1;3;1.75;1.33;3;3.2;4
2;2;1;43;1;1;1;3.25;2;2;2.25;3.4;2.4
2;2;1;44;1;3;3;2.75;3.75;3.17;4;2.8;3.4
2;2;1;27;1;1;2;3.75;3.5;2.83;4;3.8;3
2;1;2;31;1;1;1;3.75;4;3.67;3.75;4;2.8
2;1;1;21;1;1;1;1.25;1;1;4.5;1.8;2
2;2;3;53;3;1;1;2;3.5;2.67;3.5;3;4.6
2;1;1;21;1;1;1;2.75;1;1.33;3.25;3.4;3.6
1;1;3;32;2;3;1;2.25;4;3.83;3;1.4;3
2;2;3;20;2;6;1;2;3.5;2.67;2;2.4;3.4
1;1;3;22;2;6;1;2;1.5;1;2.5;2.8;4
2;1;1;30;1;1;1;1.25;2.75;2.5;3.25;3.6;3.6
1;1;1;41;1;2;1;1.75;2;2;4;3.4;4.8
2;1;2;41;2;3;2;2;2;2;3;3.2;4
1;1;1;39;1;1;1;4;3;3;4;4;4
2;1;1;30;1;1;1;3.25;1;1.17;3;2.6;3.8
1;1;4;40;2;6;1;3;1;1;3.25;3.4;3
2;1;1;44;1;1;1;1.25;1;1;2;3.4;3.4
2;1;3;38;2;5;1;3.25;1;1.17;1;2.8;2.8
2;1;1;43;2;3;2;3;2.5;2;4;4;3
2;1;1;44;1;1;1;3.25;2;2;3;3.2;3
1;2;1;51;1;2;2;2.5;3.75;3.17;4;3.4;3.2
1;2;1;43;1;1;1;1.75;3.5;2;4;2.8;3.4
1;1;3;20;2;6;1;2;2;2;3;4;3
2;1;3;47;2;6;2;1.5;2;2.17;3.25;2.8;4.6
1;2;3;42;2;3;2;4.25;3;3;4;3;4
1;2;4;35;2;6;2;3;4.25;4;4;4;2
2;2;1;43;1;1;3;3;3;2;3;4;2
1;1;3;43;2;5;1;3;2;2.67;3.25;3.6;2.2
1;2;3;39;4;6;2;4.25;2;3.5;2.25;4;3.4
1;1;3;44;1;1;2;2.25;2.5;2.5;2.5;3;3
1;2;1;31;1;1;2;2.5;2.25;2.5;2.25;2.8;3.2
2;2;1;42;1;2;1;4.25;3;3;4;2.2;4.4
1;1;3;21;2;6;2;3;3;3;3;3;3
2;2;3;42;2;6;1;3.25;3.5;3.67;3.75;3.6;3
1;1;4;52;2;5;1;1.25;1;1;4;5;2
2;1;3;29;2;5;1;2;1;1.33;2.5;2.6;1.8
2;1;3;33;3;3;1;2;3;1.83;4.75;2.8;4
2;1;4;32;2;3;1;3.25;2;2;3;3.6;4
2;1;4;20;2;4;2;3;2.5;2.33;4.25;3.2;2.4
2;1;1;38;1;1;1;2.5;2;2.67;4;3;2.4
2;1;4;56;2;5;1;4;3;3;4;3.2;4
2;1;3;38;2;4;1;2.5;1;2;2;2.8;4.2
2;1;1;41;1;1;1;3.5;3.75;3;3;3.4;3.2
1;2;4;34;4;5;3;4;4.25;4.33;4;4;2
1;1;3;20;2;5;2;4;2;2;3.75;3;4.8
1;1;1;21;2;5;1;2.75;1;1.33;4;3.2;4
2;1;1;29;1;1;1;1.25;1;1;4;3.4;4.6
1;1;3;44;2;6;1;2.75;1.25;2.67;3;3;4.6
2;1;3;26;1;1;1;3.25;2;3;4;3.4;3.8
2;1;1;26;1;2;2;3;3;1.83;4.25;3.6;2
2;2;1;48;2;4;1;3;3;3;3.75;3.6;3.2
1;2;3;26;2;3;1;4;4.25;3.67;3.75;4;3.4
1;1;3;40;2;2;1;2.25;3.5;2.33;3;3.8;5
1;1;1;52;2;2;1;2.75;2;2;3.5;2.8;4
1;1;3;42;4;6;1;2;2;2;3.75;2.8;3.2
2;1;4;56;2;5;4;4;2;2;4;2;3.6
2;1;4;52;2;6;1;2;2;2;3;2.8;3.6
1;1;3;37;2;6;1;1.5;1;3.33;3;3.6;4.4
2;1;1;28;1;2;1;2;3.5;2.17;3.25;3.4;3.8
2;1;1;55;1;2;2;3.25;3.75;3.5;4.75;3.6;4
2;1;1;33;2;2;2;2.5;2;1.83;4;4;3.4
2;2;1;54;1;1;1;3.5;4;2.5;4;3.2;4.4
2;2;1;46;1;1;2;3.5;2.25;3.17;3;4.4;3.4
1;1;1;33;1;2;1;1;1;1;3;4.8;5
2;1;1;33;1;2;1;2.25;3;3;4;3.6;3.4
2;1;4;42;2;3;2;2;3.5;2.5;4;3.2;1.8
2;1;1;37;1;1;1;3;3;3;3;4;3
2;2;1;47;1;1;1;3.75;4;2;4;2;3
2;1;2;20;1;1;1;3.25;2;2;4;4;4.6
2;2;1;21;1;1;1;4;4;4;4;4;5
2;1;4;52;2;6;1;2;1;1.5;4;3.2;1.6
2;1;1;21;1;1;1;3.25;2;2;4;3.8;3.4
2;1;1;22;1;1;2;2.5;2;2;4;3.4;2.6
2;2;3;26;2;3;2;3.5;4;4;4;4;5
2;1;4;22;2;3;1;2;1;1.5;3.5;2.4;3.6
2;1;1;21;2;5;1;3;3.5;3.17;3.75;3.4;2
2;1;4;22;2;4;1;2.75;2;2;3.5;3.4;3
2;2;1;22;1;1;1;3;3.5;3.17;2.75;3.8;2.4
2;1;4;21;2;5;1;2.25;1;1;4;3.6;4.6
2;1;1;19;1;1;1;2.75;3;3;4;3.2;3.4
2;1;3;21;3;6;2;2.75;1;1;2.75;3.4;3.4
2;1;1;21;1;1;1;2.75;1;2;3.5;3.8;3.6
2;1;1;20;1;2;3;2.5;3.5;2;5;3.4;2.4
2;1;1;24;1;2;1;3.25;3.5;3.17;4;3.4;2.4
2;1;1;32;1;1;1;4;4;3.67;3;4;3
2;1;3;21;1;3;1;3;1;1;5;3.6;3
2;1;4;23;4;3;2;1.75;1;1.5;3;2.8;2.2
2;1;4;35;2;3;2;3;1;2;3;3.4;3.8
2;1;4;33;2;6;1;2.5;2;2.5;4;3;4.4
2;1;1;36;1;1;3;2.75;3;2.83;4.25;3.6;4
2;1;1;23;1;2;1;2;2;2;4;3.2;4.2
2;1;1;23;1;1;1;4;3.5;3;4;4;3
2;1;1;22;1;1;1;1.25;1;3;5;3.6;5
2;1;4;23;2;6;1;3.25;1;1;2;2.6;1
1;1;3;21;4;3;2;3.75;2;2;4;3.4;2
2;1;4;24;2;6;1;2.25;2;3.33;3;3.8;3.2
2;1;4;22;2;5;3;4;1;2;4;3.8;3
1;2;4;22;4;6;2;3.75;4.5;4.5;4.5;4.4;3.2
2;2;3;38;1;1;4;4;4;4;4;4;3
2;2;3;21;1;1;1;3.5;2;2;4;4;3.2
2;1;3;22;1;1;1;2.25;2;2;3;3;2.8
2;2;3;22;2;6;2;1.75;3;2.5;4;2.8;5
2;1;4;22;2;3;1;3.75;1;1;3.5;3.6;4
2;1;1;21;2;1;1;3;1.5;1.17;4;3.8;2.6
1;1;3;23;2;6;1;2.75;2;2;3;3.6;3
1;1;4;21;1;6;1;5;4;4;3;4;3
2;1;4;21;2;5;1;3;1;2;3.25;3.6;1
2;2;3;21;2;4;1;1;2.5;1.67;3.5;2.4;4.4
2;1;1;19;1;2;1;3;2;3;4;3.2;3.6
2;1;1;23;1;1;2;2.5;1;2;4;3.4;3
2;1;2;23;1;1;1;3.75;3;3;4;4;3.2
1;1;2;24;1;2;3;3;1;1;4;4.4;5
2;1;3;22;2;6;1;1;1;1;4.75;3.4;5
2;1;3;23;2;4;1;2;1;1;3.25;2.2;2.4
2;1;1;22;1;1;1;2.75;2;2.33;3.5;3.4;3.8
2;2;1;22;1;1;2;2.75;3.75;3.33;4;3.2;4.2
2;1;3;22;3;1;1;2.75;3;2;3;4;3.6
2;1;2;45;1;1;1;2.5;2;1.83;2.75;3.2;4.4
2;1;1;22;1;2;1;2.75;1;1.33;4.25;3.4;2
1;1;2;24;2;6;1;3.25;4;4;4;3.6;3
1;1;4;24;2;4;1;2.25;2;1.67;3.25;3.8;2.4
2;1;1;24;1;1;1;2.5;2;2.67;4;3.2;3.8
2;1;1;24;1;2;1;3.5;1;1.33;4;2.8;1.4
2;2;2;24;1;2;4;4;3;3.17;5;3.4;3.2
2;2;1;24;1;1;2;3;4.75;3.5;4;3.4;3
2;1;1;24;1;2;3;2;2;2;3;3.6;3.6
2;1;1;27;1;1;1;4;2;3;4.5;3.6;3.4
2;2;3;22;2;5;1;2;2.5;2.33;3;3.2;3.6
2;1;3;26;1;1;6;3.5;3.5;3;3;3.2;3
2;2;1;22;1;1;1;3.25;3.5;3;4;3.6;3.6
2;1;3;24;2;2;1;2;3;2.17;4;3.6;4.8
2;1;1;24;1;1;2;2.5;1;2.83;4;3.6;4.6
2;2;1;22;1;1;1;1;4;3.83;4;3.4;2
2;1;4;24;2;6;1;1;1;1;3.5;3.4;5
2;2;1;22;1;1;1;3;3;3;3;3;3.2
1;2;4;23;4;6;2;3.75;4.5;4.5;4.5;4.4;3.2
2;1;1;25;1;1;3;3.5;1;1;4.25;3.8;4.4
2;1;2;24;1;1;2;4;4;5;4;4.2;2.8
1;1;3;24;2;6;2;2.75;3;3;4;3.6;3.4
2;1;3;24;4;3;1;4;1;2.17;4;3;4
2;1;3;25;2;5;2;1.5;1;1;2.25;2.4;3.6
2;1;2;26;1;2;2;2.5;1;1.5;3.75;4;3
2;2;3;27;2;6;1;3.75;4;4;4;3.6;4.4
2;1;4;28;2;4;3;2;2;1.67;4;3.6;2.8
2;1;1;29;1;1;1;2.25;1.5;2;4;3.4;3.6
1;1;1;30;1;2;2;3;3;2.17;4;3.6;3.6
2;1;1;25;1;2;3;3.25;2;2;4;3.2;3.2
2;1;2;26;1;2;3;4.5;2;1;4;4;3.2
1;2;3;27;2;5;1;3;3.25;3;3;3.2;5
1;1;1;28;1;2;1;2.5;1;1;3;3.6;3.2
2;1;1;29;1;1;1;2.5;4.5;3.17;4.25;2.8;1
2;1;4;30;2;3;1;2;1;1;3.75;3.2;4
2;1;1;25;1;1;1;1;1;1;4;2.6;3.8
2;1;4;26;2;5;1;2.25;1.75;2.5;3.5;3.2;3.2
2;1;1;27;1;1;1;3.25;1;2;1;2.6;3
2;1;4;28;2;4;2;3.75;2.25;1.17;4.5;3.4;4.4
2;2;3;29;2;4;1;4.75;1;1.5;3.5;3.4;3.8
2;2;1;30;1;1;2;2.75;4;4;4;3.6;2.4
2;1;2;25;1;2;1;2.5;1;1.67;4.25;3.2;3.8
2;1;2;26;1;1;1;3;2;3.17;4;3.8;5
2;1;2;27;1;1;1;3.75;4;3.67;3.75;4;2.8
2;1;1;24;1;1;3;3.5;1;1.33;4;3.8;1.8
2;1;4;28;2;4;1;2.25;2;2;3;3.4;4
2;1;2;29;3;4;1;2.5;1;2;4;2.8;2.8
2;1;1;30;1;1;1;2.25;1;1;4;2.6;2.6
2;1;1;25;1;1;2;2;2;2.17;3;3.2;3.4
1;1;3;20;2;6;1;2;4;3.83;4;4;2.6
1;1;1;22;1;2;1;2.25;1;1;5;3.2;3.2
1;1;3;22;4;3;1;3.25;2;2;3.75;2.8;2.4
1;1;1;22;1;1;2;2.5;1;2;3.5;3.8;2
2;1;3;22;2;3;1;3.5;3;2.17;5;3;5
1;1;4;23;2;6;1;2.25;1;1;3.75;2.8;2.2
2;1;1;20;1;2;1;2.5;1;1.83;3.75;4;3.2
2;2;2;20;2;6;1;2.5;1;2.17;3.75;2.6;4
2;1;3;23;2;6;2;2.25;1;1;3;3.2;3.4
2;1;3;21;4;4;2;2.5;1;1;5;3.2;3
2;1;1;20;1;1;1;3.25;3;3;4;3.2;4.8
2;2;1;23;1;2;1;3.75;4;3;4;3.6;3.6
2;2;3;24;2;4;2;2.75;3.75;2.33;3.75;3.4;5
2;1;3;21;1;2;1;1.75;3;2.33;3.25;3.4;3.2
1;2;3;22;2;4;3;3.5;4;4.67;3;4;2.8
1;2;3;25;2;3;1;4;4.25;3.67;3.75;4;3.4
1;2;2;25;2;4;1;3.75;3.75;4.33;3.75;4;3
2;1;1;25;1;2;3;3.75;3.5;3;4.25;4.6;2.4
2;1;3;26;3;1;3;1;1;1;1;1;5
2;2;2;27;2;4;2;3.5;3.75;3.83;3.5;4.2;3.6
1;2;4;28;4;3;2;2.5;1;1;2.5;3.6;1.2
1;1;4;29;2;5;1;3;2.75;3;4;2.8;2.6
2;1;3;30;3;6;1;3.25;1;1;4;3.6;5
2;2;2;25;2;2;1;3;4;4;4;3.4;3
2;1;4;26;2;5;1;2;2;2;2.5;2.8;2.8
2;1;1;29;1;1;1;4;4;4;4.25;4;5
1;2;1;30;1;1;2;1;5;3.5;4;2.6;1.6
2;1;3;31;3;5;1;1.75;3.25;3;4;3.4;2.8
2;1;3;32;1;1;1;3.75;3;3;3.75;3.6;2.4
2;1;4;29;2;3;2;3;2;2;3;2;3.8
2;1;3;30;2;6;1;2.75;2;2;4;3;2
2;1;3;31;2;5;1;3;1;1;5;2.4;3
1;2;4;32;2;6;1;3;1;2;3;3.4;3.4
2;2;4;29;3;2;3;3.25;2;3.33;5;3;4.6
1;1;3;30;2;6;3;2;2;2.33;3.75;4;3
1;2;4;31;4;6;2;3.75;4.5;4.5;4.5;4.4;3.2
2;1;4;32;2;4;1;3.75;3;3;4;3;3.8
2;1;1;29;1;3;2;4.75;3.25;3.67;4;4;3.4
2;1;1;30;1;1;1;2.5;3;2.83;3.25;3.4;3
2;1;3;31;2;6;1;2;1;1;1;3.2;4
2;2;3;32;2;6;3;3.5;3.25;2.5;4;3.6;4
2;1;3;49;2;6;1;2.25;1;1;2.5;3.2;4.4
1;1;1;24;1;2;1;3.25;3;3;3;4;3
2;2;4;22;4;5;3;4;4.25;4.33;4;4;2
2;1;3;20;2;4;1;2.75;1;2;3.75;3;3.4
2;2;2;24;2;4;1;2.75;3.75;3;3;3.4;4.2
1;1;1;20;1;2;1;2.5;2;1.17;3.25;3.2;2.4
2;1;4;22;2;6;1;1.75;1;1.67;3.75;2.8;4.2
2;1;2;22;2;1;1;2.75;1;1;4.75;3.8;3.4
1;1;4;22;2;6;1;3;3.5;2.83;3.5;3;3.6
1;1;1;23;1;2;1;2;2;2;3.75;3.2;4.6
1;1;1;22;1;1;2;3.75;3;3.17;3.25;3;4.4
1;1;3;23;1;1;1;2.75;1;1;2;4;2.8
1;1;1;22;1;1;6;2;1;1;2.5;5;4.2
2;1;1;23;1;1;1;1.75;3.75;3.17;3.25;3.2;4.4
1;1;1;22;1;6;1;1.75;2.25;1.67;1.75;2;3.8
2;1;1;23;1;2;1;2.75;3.5;2.83;3.5;3.4;2.6
1;2;3;23;1;1;2;1.75;4;2.17;1.75;4;3.8
2;1;3;22;2;4;2;2.5;3.25;2.17;3;2.6;2
2;1;3;24;2;4;6;2;1;4;2;2.6;2.6
1;1;2;22;1;1;2;3;3;2.67;2.5;2.6;3.2
1;2;1;22;2;3;1;2.25;3;2.33;2.5;3.4;3.2
2;1;1;21;1;1;1;4.25;2;3;3;3.4;3.6
2;1;1;21;1;1;2;3.5;4;3.17;3.5;3.8;2.4
1;1;1;20;1;1;1;2.75;1;1;3.5;3;2
2;1;1;21;1;1;1;1.75;2;1;3;3.4;4.6
2;1;3;21;3;2;1;3.75;3.5;3.33;4;3.4;2.6
2;1;1;21;1;1;1;2.25;2;2.67;3;3;4.6
2;1;3;21;2;2;1;3.25;1;1;3.75;3.6;5
2;1;3;21;2;3;1;2;2;2;3;3.6;1.6
1;1;4;20;2;3;1;2.5;1;2.33;1.75;1.6;2
1;1;1;22;2;4;1;2.5;2;2.17;3;3;4.4
1;1;1;21;1;1;1;3.5;3.75;3.17;3;3.8;3.4
1;1;3;22;3;1;1;2.25;1;1;2.25;2.8;4.2
1;1;1;21;4;2;1;2.75;3;2;3;3.4;3
2;1;1;47;2;5;1;3;2.25;1;2;3.2;4.4
1;1;3;23;2;3;1;3.25;2;3.33;3;4;4
1;2;1;20;1;6;2;1;1.25;1;1;1;3
2;1;4;22;2;6;1;4.5;2;1;2;2.2;3
1;1;4;21;2;2;1;4.25;2;1;3;3;2.8
1;2;3;21;2;6;1;2.5;4;4;4;4;5
1;1;1;24;1;1;1;4;2;4;4;4;3.8
2;1;1;20;1;1;1;1.5;3.25;3;4;3.8;3.8
2;1;3;23;3;1;1;2.25;3.25;2;4;3.8;4.4
1;2;1;24;1;1;2;3.5;2;2;2.5;2.6;3.6
1;1;1;22;1;1;1;3.75;3;4;4;4;4
2;2;3;20;2;6;1;1.75;3;3;3;3.2;3.2
1;1;4;21;4;2;6;1;1;2;2;2.8;3.8
1;2;1;23;1;3;1;4.25;4;3.83;3.25;3.4;3.8
2;1;1;23;1;1;4;2.5;1.75;2.67;3.5;4;4.4
1;1;3;22;4;1;1;1;1;1;1;1.6;3
2;1;1;22;1;1;1;3.75;2;3;3;3.2;3.8
1;1;3;44;1;1;1;3.5;3;3;3;3;4
1;1;3;22;2;3;1;2;1;1;1;3.6;3.8
2;1;4;21;2;5;1;2;1;2;2;3;4
2;1;1;21;1;2;1;2.75;3;4;4;4;2.6
2;1;3;21;1;1;1;2;2;3;3;3;3.6
2;1;1;21;1;1;1;2.75;2;2;3;4;3.2
2;2;1;24;1;1;3;2;2.5;2.83;2.25;2.6;3
2;1;1;22;1;1;1;1.25;4;2.17;3;3.4;3.2
2;1;4;23;1;1;3;1;1;1;3;2.6;4.4
2;1;1;22;1;1;1;3.75;1;1;2;3.6;3.4
2;1;3;22;2;1;2;3;2;2;2.5;3.6;3
2;1;3;21;2;3;1;3.5;3;4;3;3.6;3
2;2;1;23;1;1;1;1.75;2.75;2.33;2.5;2;3.2
1;1;1;20;1;2;1;3.75;2.5;2;2;2;2.2
1;1;3;21;3;1;2;3.5;1;3;3;3.4;3.8
2;2;1;21;1;2;3;3.75;1;1.67;2.75;3.6;3.8
1;1;3;35;1;1;1;3.5;4;3;2.75;3;3.2
1;1;3;21;1;1;1;3.25;4;3.67;3;3;2.4
2;1;2;22;4;2;1;2.25;2;3.17;4;3.8;2.8
2;1;1;21;1;1;1;2;4;4;3.75;2.8;4.2
2;1;1;23;1;1;1;2.75;1;1.83;3;3.6;4.4
